alpha,dataset,defense,auc_noattack,auc_fedsdf,delta_auc
1.0,f-mnist,Trimmed-mean,88.5962,70.0739,18.5223
1.0,mnist,Trimmed-mean,97.2711,42.2747,54.9964
iid,cifar,Bulyan,67.0115,26.7357,40.2758
iid,f-mnist,Bulyan,88.8524,62.9677,25.8847
iid,mnist,Bulyan,97.4268,26.74,70.6868
iid,cifar,CC,67.6544,46.4157,21.2387
iid,f-mnist,CC,89.3141,52.9899,36.3242
iid,mnist,CC,97.6771,32.8983,64.7788
iid,cifar,FedAvg,68.3024,41.3186,26.9838
iid,f-mnist,FedAvg,89.2679,67.242,22.0259
iid,mnist,FedAvg,97.6164,35.2539,62.3625
iid,cifar,Multi-Krum,68.3211,36.4616,31.8595
iid,f-mnist,Multi-Krum,89.04,55.5244,33.5156
iid,mnist,Multi-Krum,97.5133,30.9779,66.5354
iid,cifar,RFA,68.6681,13.3376,55.3305
iid,f-mnist,RFA,89.2223,29.0847,60.1376
iid,mnist,RFA,97.6618,12.1554,85.5064
iid,cifar,RoFL,68.3785,36.0809,32.2976
iid,f-mnist,RoFL,89.1628,77.6825,11.4803
iid,mnist,RoFL,97.6226,32.829,64.7936
iid,cifar,Trimmed-mean,68.7577,41.2622,27.4955
iid,f-mnist,Trimmed-mean,89.1396,78.0483,11.0913
iid,mnist,Trimmed-mean,97.6497,47.9587,49.691
